label	sample	plate	row	plate_row	chanel
Intensity_R_TMT_Plate1_A_TMT10plex126C	R	Plate1	A	Plate1_A	126C
Intensity_S23_TMT_Plate1_A_TMT10plex127N	S23	Plate1	A	Plate1_A	127N
Intensity_S24_TMT_Plate1_A_TMT10plex127C	S24	Plate1	A	Plate1_A	127C
Intensity_A5-PBS2_TMT_Plate1_A_TMT10plex128N	A5-PBS2	Plate1	A	Plate1_A	128N
Intensity_S26_TMT_Plate1_A_TMT10plex128C	S26	Plate1	A	Plate1_A	128C
Intensity_S27_TMT_Plate1_A_TMT10plex129N	S27	Plate1	A	Plate1_A	129N
Intensity_A5-KES3_TMT_Plate1_A_TMT10plex129C	A5-KES3	Plate1	A	Plate1_A	129C
Intensity_S7_TMT_Plate1_A_TMT10plex130N	S7	Plate1	A	Plate1_A	130N
Intensity_S8_TMT_Plate1_A_TMT10plex130C	S8	Plate1	A	Plate1_A	130C
Intensity_B5-PBS2_TMT_Plate1_A_TMT10plex131N	B5-PBS2	Plate1	A	Plate1_A	131N
Intensity_S13_TMT_Plate1_A_TMT11plex131C	S13	Plate1	A	Plate1_A	131C
Intensity_R_TMT_Plate1_B_TMT10plex126C	R	Plate1	B	Plate1_B	126C
Intensity_S22_TMT_Plate1_B_TMT10plex127N	S22	Plate1	B	Plate1_B	127N
Intensity_A5-KES1_TMT_Plate1_B_TMT10plex127C	A5-KES1	Plate1	B	Plate1_B	127C
Intensity_A4-PBS2_TMT_Plate1_B_TMT10plex128N	A4-PBS2	Plate1	B	Plate1_B	128N
Intensity_S25_TMT_Plate1_B_TMT10plex128C	S25	Plate1	B	Plate1_B	128C
Intensity_A5-PBS3_TMT_Plate1_B_TMT10plex129N	A5-PBS3	Plate1	B	Plate1_B	129N
Intensity_A4-KES3_TMT_Plate1_B_TMT10plex129C	A4-KES3	Plate1	B	Plate1_B	129C
Intensity_S31_TMT_Plate1_B_TMT10plex130N	S31	Plate1	B	Plate1_B	130N
Intensity_B5-KES1_TMT_Plate1_B_TMT10plex130C	B5-KES1	Plate1	B	Plate1_B	130C
Intensity_B4-PBS2_TMT_Plate1_B_TMT10plex131N	B4-PBS2	Plate1	B	Plate1_B	131N
Intensity_S12_TMT_Plate1_B_TMT11plex131C	S12	Plate1	B	Plate1_B	131C
Intensity_R_TMT_Plate1_C_TMT10plex126C	R	Plate1	C	Plate1_C	126C
Intensity_A5-PBS1_TMT_Plate1_C_TMT10plex127N	A5-PBS1	Plate1	C	Plate1_C	127N
Intensity_A4-KES1_TMT_Plate1_C_TMT10plex127C	A4-KES1	Plate1	C	Plate1_C	127C
Intensity_A3-PBS2_TMT_Plate1_C_TMT10plex128N	A3-PBS2	Plate1	C	Plate1_C	128N
Intensity_A5-KES2_TMT_Plate1_C_TMT10plex128C	A5-KES2	Plate1	C	Plate1_C	128C
Intensity_A4-PBS3_TMT_Plate1_C_TMT10plex129N	A4-PBS3	Plate1	C	Plate1_C	129N
Intensity_A3-KES3_TMT_Plate1_C_TMT10plex129C	A3-KES3	Plate1	C	Plate1_C	129C
Intensity_B5-PBS1_TMT_Plate1_C_TMT10plex130N	B5-PBS1	Plate1	C	Plate1_C	130N
Intensity_B4-KES1_TMT_Plate1_C_TMT10plex130C	B4-KES1	Plate1	C	Plate1_C	130C
Intensity_B3-PBS2_TMT_Plate1_C_TMT10plex131N	B3-PBS2	Plate1	C	Plate1_C	131N
Intensity_B5-KES2_TMT_Plate1_C_TMT11plex131C	B5-KES2	Plate1	C	Plate1_C	131C
Intensity_R_TMT_Plate1_D_TMT10plex126C	R	Plate1	D	Plate1_D	126C
Intensity_A4-PBS1_TMT_Plate1_D_TMT10plex127N	A4-PBS1	Plate1	D	Plate1_D	127N
Intensity_A3-KES1_TMT_Plate1_D_TMT10plex127C	A3-KES1	Plate1	D	Plate1_D	127C
Intensity_A2-PBS2_TMT_Plate1_D_TMT10plex128N	A2-PBS2	Plate1	D	Plate1_D	128N
Intensity_A4-KES2_TMT_Plate1_D_TMT10plex128C	A4-KES2	Plate1	D	Plate1_D	128C
Intensity_A3-PBS3_TMT_Plate1_D_TMT10plex129N	A3-PBS3	Plate1	D	Plate1_D	129N
Intensity_A2-KES3_TMT_Plate1_D_TMT10plex129C	A2-KES3	Plate1	D	Plate1_D	129C
Intensity_B4-PBS1_TMT_Plate1_D_TMT10plex130N	B4-PBS1	Plate1	D	Plate1_D	130N
Intensity_B3-KES1_TMT_Plate1_D_TMT10plex130C	B3-KES1	Plate1	D	Plate1_D	130C
Intensity_B2-PBS2_TMT_Plate1_D_TMT10plex131N	B2-PBS2	Plate1	D	Plate1_D	131N
Intensity_B4-KES2_TMT_Plate1_D_TMT11plex131C	B4-KES2	Plate1	D	Plate1_D	131C
Intensity_R_TMT_Plate1_E_TMT10plex126C	R	Plate1	E	Plate1_E	126C
Intensity_A3-PBS1_TMT_Plate1_E_TMT10plex127N	A3-PBS1	Plate1	E	Plate1_E	127N
Intensity_A2-KES1_TMT_Plate1_E_TMT10plex127C	A2-KES1	Plate1	E	Plate1_E	127C
Intensity_A1-PBS2_TMT_Plate1_E_TMT10plex128N	A1-PBS2	Plate1	E	Plate1_E	128N
Intensity_A3-KES2_TMT_Plate1_E_TMT10plex128C	A3-KES2	Plate1	E	Plate1_E	128C
Intensity_A2-PBS3_TMT_Plate1_E_TMT10plex129N	A2-PBS3	Plate1	E	Plate1_E	129N
Intensity_A1-KES3_TMT_Plate1_E_TMT10plex129C	A1-KES3	Plate1	E	Plate1_E	129C
Intensity_B3-PBS1_TMT_Plate1_E_TMT10plex130N	B3-PBS1	Plate1	E	Plate1_E	130N
Intensity_B2-KES1_TMT_Plate1_E_TMT10plex130C	B2-KES1	Plate1	E	Plate1_E	130C
Intensity_B1-PBS2_TMT_Plate1_E_TMT10plex131N	B1-PBS2	Plate1	E	Plate1_E	131N
Intensity_B3-KES2_TMT_Plate1_E_TMT11plex131C	B3-KES2	Plate1	E	Plate1_E	131C
Intensity_R_TMT_Plate1_F_TMT10plex126C	R	Plate1	F	Plate1_F	126C
Intensity_A2-PBS1_TMT_Plate1_F_TMT10plex127N	A2-PBS1	Plate1	F	Plate1_F	127N
Intensity_A1-KES1_TMT_Plate1_F_TMT10plex127C	A1-KES1	Plate1	F	Plate1_F	127C
Intensity_C-PBS2_TMT_Plate1_F_TMT10plex128N	C-PBS2	Plate1	F	Plate1_F	128N
Intensity_A2-KES2_TMT_Plate1_F_TMT10plex128C	A2-KES2	Plate1	F	Plate1_F	128C
Intensity_A1-PBS3_TMT_Plate1_F_TMT10plex129N	A1-PBS3	Plate1	F	Plate1_F	129N
Intensity_C-KES3_TMT_Plate1_F_TMT10plex129C	C-KES3	Plate1	F	Plate1_F	129C
Intensity_B2-PBS1_TMT_Plate1_F_TMT10plex130N	B2-PBS1	Plate1	F	Plate1_F	130N
Intensity_B1-KES1_TMT_Plate1_F_TMT10plex130C	B1-KES1	Plate1	F	Plate1_F	130C
Intensity_S2_TMT_Plate1_F_TMT10plex131N	S2	Plate1	F	Plate1_F	131N
Intensity_B2-KES2_TMT_Plate1_F_TMT11plex131C	B2-KES2	Plate1	F	Plate1_F	131C
Intensity_R_TMT_Plate1_G_TMT10plex126C	R	Plate1	G	Plate1_G	126C
Intensity_A1-PBS1_TMT_Plate1_G_TMT10plex127N	A1-PBS1	Plate1	G	Plate1_G	127N
Intensity_C-KES1_TMT_Plate1_G_TMT10plex127C	C-KES1	Plate1	G	Plate1_G	127C
Intensity_S21_TMT_Plate1_G_TMT10plex128N	S21	Plate1	G	Plate1_G	128N
Intensity_A1-KES2_TMT_Plate1_G_TMT10plex128C	A1-KES2	Plate1	G	Plate1_G	128C
Intensity_C-PBS3_TMT_Plate1_G_TMT10plex129N	C-PBS3	Plate1	G	Plate1_G	129N
Intensity_S30_TMT_Plate1_G_TMT10plex129C	S30	Plate1	G	Plate1_G	129C
Intensity_B1-PBS1_TMT_Plate1_G_TMT10plex130N	B1-PBS1	Plate1	G	Plate1_G	130N
Intensity_S4_TMT_Plate1_G_TMT10plex130C	S4	Plate1	G	Plate1_G	130C
Intensity_S11_TMT_Plate1_G_TMT10plex131N	S11	Plate1	G	Plate1_G	131N
Intensity_B1-KES2_TMT_Plate1_G_TMT11plex131C	B1-KES2	Plate1	G	Plate1_G	131C
Intensity_R_TMT_Plate1_H_TMT10plex126C	R	Plate1	H	Plate1_H	126C
Intensity_C-PBS1_TMT_Plate1_H_TMT10plex127N	C-PBS1	Plate1	H	Plate1_H	127N
Intensity_S19_TMT_Plate1_H_TMT10plex127C	S19	Plate1	H	Plate1_H	127C
Intensity_S20_TMT_Plate1_H_TMT10plex128N	S20	Plate1	H	Plate1_H	128N
Intensity_C-KES2_TMT_Plate1_H_TMT10plex128C	C-KES2	Plate1	H	Plate1_H	128C
Intensity_S28_TMT_Plate1_H_TMT10plex129N	S28	Plate1	H	Plate1_H	129N
Intensity_S29_TMT_Plate1_H_TMT10plex129C	S29	Plate1	H	Plate1_H	129C
Intensity_S1_TMT_Plate1_H_TMT10plex130N	S1	Plate1	H	Plate1_H	130N
Intensity_S9_TMT_Plate1_H_TMT10plex130C	S9	Plate1	H	Plate1_H	130C
Intensity_S10_TMT_Plate1_H_TMT10plex131N	S10	Plate1	H	Plate1_H	131N
Intensity_S5_TMT_Plate1_H_TMT11plex131C	S5	Plate1	H	Plate1_H	131C
Intensity_R_TMT_Plate2_A_TMT10plex126C	R	Plate2	A	Plate2_A	126C
Intensity_S3_TMT_Plate2_A_TMT10plex127N	S3	Plate2	A	Plate2_A	127N
Intensity_B1-PBS3_TMT_Plate2_A_TMT10plex127C	B1-PBS3	Plate2	A	Plate2_A	127C
Intensity_B2-PBS3_TMT_Plate2_A_TMT10plex128N	B2-PBS3	Plate2	A	Plate2_A	128N
Intensity_S6_TMT_Plate2_A_TMT10plex128C	S6	Plate2	A	Plate2_A	128C
Intensity_B1-KES3_TMT_Plate2_A_TMT10plex129N	B1-KES3	Plate2	A	Plate2_A	129N
Intensity_B2-KES3_TMT_Plate2_A_TMT10plex129C	B2-KES3	Plate2	A	Plate2_A	129C
Intensity_B3-PBS3_TMT_Plate2_A_TMT10plex130N	B3-PBS3	Plate2	A	Plate2_A	130N
Intensity_B4-PBS3_TMT_Plate2_A_TMT10plex130C	B4-PBS3	Plate2	A	Plate2_A	130C
Intensity_B5-PBS3_TMT_Plate2_A_TMT10plex131N	B5-PBS3	Plate2	A	Plate2_A	131N
Intensity_S14_TMT_Plate2_A_TMT11plex131C	S14	Plate2	A	Plate2_A	131C
Intensity_R_TMT_Plate2_B_TMT10plex126C	R	Plate2	B	Plate2_B	126C
Intensity_B3-KES3_TMT_Plate2_B_TMT10plex127N	B3-KES3	Plate2	B	Plate2_B	127N
Intensity_B4-KES3_TMT_Plate2_B_TMT10plex127C	B4-KES3	Plate2	B	Plate2_B	127C
Intensity_B5-KES3_TMT_Plate2_B_TMT10plex128N	B5-KES3	Plate2	B	Plate2_B	128N
Intensity_S15_TMT_Plate2_B_TMT10plex128C	S15	Plate2	B	Plate2_B	128C
Intensity_S16_TMT_Plate2_B_TMT10plex129N	S16	Plate2	B	Plate2_B	129N
Intensity_S17_TMT_Plate2_B_TMT10plex129C	S17	Plate2	B	Plate2_B	129C
Intensity_S18_TMT_Plate2_B_TMT10plex130N	S18	Plate2	B	Plate2_B	130N
Intensity_R2b9_TMT_Plate2_B_TMT10plex130C	R2b9	Plate2	B	Plate2_B	130C
Intensity_R2b10_TMT_Plate2_B_TMT10plex131N	R2b10	Plate2	B	Plate2_B	131N
Intensity_R2b11_TMT_Plate2_B_TMT11plex131C	R2b11	Plate2	B	Plate2_B	131C
Intensity_R_TMT_Plate2_C_TMT10plex126C	R	Plate2	C	Plate2_C	126C
Intensity_R2c2_TMT_Plate2_C_TMT10plex127N	R2c2	Plate2	C	Plate2_C	127N
Intensity_R2c3_TMT_Plate2_C_TMT10plex127C	R2c3	Plate2	C	Plate2_C	127C
Intensity_R2c4_TMT_Plate2_C_TMT10plex128N	R2c4	Plate2	C	Plate2_C	128N
Intensity_R2c5_TMT_Plate2_C_TMT10plex128C	R2c5	Plate2	C	Plate2_C	128C
Intensity_R2c6_TMT_Plate2_C_TMT10plex129N	R2c6	Plate2	C	Plate2_C	129N
Intensity_R2c7_TMT_Plate2_C_TMT10plex129C	R2c7	Plate2	C	Plate2_C	129C
Intensity_R2c8_TMT_Plate2_C_TMT10plex130N	R2c8	Plate2	C	Plate2_C	130N
Intensity_R2c9_TMT_Plate2_C_TMT10plex130C	R2c9	Plate2	C	Plate2_C	130C
Intensity_R2c10_TMT_Plate2_C_TMT10plex131N	R2c10	Plate2	C	Plate2_C	131N
Intensity_R2c11_TMT_Plate2_C_TMT11plex131C	R2c11	Plate2	C	Plate2_C	131C
Intensity_R_TMT_Plate2_D_TMT10plex126C	R	Plate2	D	Plate2_D	126C
Intensity_R2d2_TMT_Plate2_D_TMT10plex127N	R2d2	Plate2	D	Plate2_D	127N
Intensity_R2d3_TMT_Plate2_D_TMT10plex127C	R2d3	Plate2	D	Plate2_D	127C
Intensity_R2d4_TMT_Plate2_D_TMT10plex128N	R2d4	Plate2	D	Plate2_D	128N
Intensity_R2d5_TMT_Plate2_D_TMT10plex128C	R2d5	Plate2	D	Plate2_D	128C
Intensity_R2d6_TMT_Plate2_D_TMT10plex129N	R2d6	Plate2	D	Plate2_D	129N
Intensity_R2d7_TMT_Plate2_D_TMT10plex129C	R2d7	Plate2	D	Plate2_D	129C
Intensity_R2d8_TMT_Plate2_D_TMT10plex130N	R2d8	Plate2	D	Plate2_D	130N
Intensity_R2d9_TMT_Plate2_D_TMT10plex130C	R2d9	Plate2	D	Plate2_D	130C
Intensity_R2d10_TMT_Plate2_D_TMT10plex131N	R2d10	Plate2	D	Plate2_D	131N
Intensity_R2d11_TMT_Plate2_D_TMT11plex131C	R2d11	Plate2	D	Plate2_D	131C
Intensity_R_TMT_Plate2_E_TMT10plex126C	R	Plate2	E	Plate2_E	126C
Intensity_R2e2_TMT_Plate2_E_TMT10plex127N	R2e2	Plate2	E	Plate2_E	127N
Intensity_R2e3_TMT_Plate2_E_TMT10plex127C	R2e3	Plate2	E	Plate2_E	127C
Intensity_R2e4_TMT_Plate2_E_TMT10plex128N	R2e4	Plate2	E	Plate2_E	128N
Intensity_R2e5_TMT_Plate2_E_TMT10plex128C	R2e5	Plate2	E	Plate2_E	128C
Intensity_R2e6_TMT_Plate2_E_TMT10plex129N	R2e6	Plate2	E	Plate2_E	129N
Intensity_R2e7_TMT_Plate2_E_TMT10plex129C	R2e7	Plate2	E	Plate2_E	129C
Intensity_R2e8_TMT_Plate2_E_TMT10plex130N	R2e8	Plate2	E	Plate2_E	130N
Intensity_R2e9_TMT_Plate2_E_TMT10plex130C	R2e9	Plate2	E	Plate2_E	130C
Intensity_R2e10_TMT_Plate2_E_TMT10plex131N	R2e10	Plate2	E	Plate2_E	131N
Intensity_R2e11_TMT_Plate2_E_TMT11plex131C	R2e11	Plate2	E	Plate2_E	131C
