"","RT","MZ","HM406CO","HM406TI"
"1",10796.5294728524,758.718247569928,571378900,892453000
"2",2401.95123548064,567.780999720317,123186400,275041400
"3",6875.54985514044,745.874135206677,111862000,24649640000
"4",2652.14172973626,559.260104523302,24696700000,202261700000
"5",5240.81378887856,497.26803186811,207267400,224841200
"6",5854.17666537221,631.806287373148,NA,11582590000
"7",6807.39561693529,711.341413379094,NA,3157221000
"8",10438.0584673996,758.718321002012,1513615000,2117346000
"9",2894.8025401454,518.770953557083,5580498000,105297000
"10",5105.79062558294,800.893544578065,11650830000,12139840000
"11",4072.21408047538,476.261297421825,NA,1245173000
"12",4949.40660485425,507.752567348625,NA,732217400
"13",7668.32543110087,524.789354218501,NA,571574300
"14",5063.14489964159,625.320382407286,NA,2000351000
"15",3241.98384569745,572.266983454875,NA,1267929000
"16",4384.18284704085,479.27217535374,NA,327675000
"17",6668.58299987963,756.851782069321,493324000,9625528000
"18",2705.68472117986,493.758535268158,9368660000,59464340000
"19",5389.64191229137,639.35472304647,2314800000,1753233000
"20",3507.61451011283,466.276395569644,1490376000,35365600000
"21",5469.21260277515,438.750080918383,NA,69087510
"22",4633.25369050806,559.785862028786,7407066,568065900
"23",9246.68032519936,836.397989339978,NA,1150006000
"24",4681.42199527602,410.719129240717,NA,NA
"25",4448.02537945215,577.290364538102,103366100000,91530870000
"26",3794.90454500926,435.750164757961,282832100,1108152000
"27",2225.07530042425,509.278711115775,31867310,71109840
"28",3519.82102913596,473.266541173298,NA,8785472
"29",7216.56699420749,710.856113354832,NA,526047400
"30",4162.66956323303,417.24228748551,NA,5799848000
"31",7302.74034678646,761.861914394023,275430600,450924400
"32",4588.07749513456,490.283749512267,328915500,1802930000
"33",2497.30139009326,545.279196322887,84843710,1061502000
"34",4596.9786771208,533.774735580849,926693600,6581613
"35",8403.10990518817,730.381119580452,4350434000,315371000
"36",7001.80161907003,660.355869151728,512558700,916649100
"37",5851.28614962424,507.800413383146,8012196,1690748000
"38",3754.46674303595,652.794204970305,2286574000,375794400
"39",2407.57571532385,540.253470169801,56662420,2032996000
"40",3016.60251804434,588.30610769834,73666040,5949791000
"41",6382.650394198,710.84977199874,520992000,29309130000
"42",5449.84398725546,540.281525374892,NA,12593230
"43",4605.69163865169,529.298371522067,NA,1987783000
"44",3059.84428718322,522.294379224804,9760761,1402830000
"45",4838.18597336165,503.7831358648,6822360,638287200
"46",4360.51465458192,544.788939129615,79978190,471220200
"47",5872.43824878139,431.742461204586,6647438,119534500
"48",3430.29584191514,428.269567759806,26756380000,9017770000
"49",2050.17109841272,634.29007603272,6883855000,1.04046e+12
"50",4194.43258709158,572.267392704425,NA,280698900
"51",5409.64836986426,510.790866399246,NA,41191130
"52",5771.3230158786,518.788345175358,NA,NA
"53",3949.37505021641,490.927364028874,264871400,5165315000
"54",2128.7818590356,531.268147078389,2468028000,324322400
"55",4730.35870671953,448.734826708622,796976200,10330680000
"56",4012.95140512968,544.301469222742,100498000,673153000
"57",5915.96907765049,661.343238020568,1770255000,5022476000
"58",2173.02458212602,548.251810700676,NA,12588000
"59",10143.8241713769,758.717669395811,908902700,2463117000
"60",8477.67124176062,836.410062880081,NA,1206325000
"61",3154.08336694067,539.263513149096,NA,1038509000
"62",5146.91412855245,557.79904574744,NA,675436400
"63",1825.44902645134,608.320516209153,NA,903428300
"64",3580.04507343388,619.768537398209,NA,7830586000
"65",3363.53002468185,493.763106112656,NA,77787390
"66",3888.96160519528,472.779204938599,NA,NA
"67",4352.16495592123,461.752953016082,204098500,120146900
"68",10048.0628922986,781.722867444206,3115615000,4268779000
"69",5062.93414842375,477.244465360921,461603000,1997835000
"70",6685.08346429762,839.41715063781,NA,639347500
"71",5027.00243306343,569.796922165349,NA,243715300
"72",4603.93668638433,460.253027665766,NA,NA
"73",6984.88201997967,662.86211805533,NA,NA
"74",2917.61310431692,519.249020688269,2614030000,2638436000
"75",9615.11150311575,838.891999465041,4827320000,NA
"76",2770.46736853809,475.260554817672,1944505000,466577400
"77",4050.88902091346,676.316144368546,14127620,607544600
"78",1884.74748311309,617.296775119118,7617217,NA
"79",2443.82192310692,551.791409988299,5338162,NA
"80",3189.28029074879,515.77939462788,NA,71448050
"81",4501.30329308663,431.742148120191,NA,184470400
"82",3921.51717961035,500.774974378316,NA,618370200
"83",7196.90706667669,711.342298859902,NA,791213200
"84",7404.57550186596,831.407064464973,NA,4701239000
"85",6211.72813346403,572.309296750731,NA,7848062000
"86",5590.96451442176,607.319913980072,3119801000,32473660000
"87",2895.85697593405,526.783222781944,NA,231529700
"88",3755.15388771021,659.345332800794,NA,291351100
"89",2372.49302997076,511.762255422003,NA,2422106000
"90",9564.37532166913,669.340485770622,NA,3023256000
"91",3719.47007277466,561.305709820805,NA,1037895000
"92",3298.33787533341,543.267572389739,NA,7274486000
"93",4565.76391374539,615.80896853474,NA,NA
"94",5054.99059979706,532.790377259601,14019010000,1972574000
"95",5014.17859278031,497.289975431447,15265850000,2097078000
"96",11142.0198489948,872.433422161266,18144980,NA
"97",2289.19418277385,634.782020919621,120227300,14995490000
"98",6748.57778034814,603.331319598154,385286100,323213900
"99",4410.14184138151,548.266714953949,NA,13713190000
"100",8819.19230573812,941.503046749858,12205820000,2352569000
"101",8266.42050654084,770.867772408495,1813764000,12630600000
"102",5164.75940894411,581.31279322237,4349197000,5998428000
"103",8035.293320282,647.314394576556,NA,900633400
"104",4443.58553600659,490.258670794671,NA,NA
"105",3704.97258577463,524.2749415363,NA,NA
"106",4884.87007275441,572.275400881462,NA,NA
"107",5035.85507393056,497.740670634419,1421799000,6312542000
"108",9463.72920316895,721.688856810216,4826551000,17284700000
"109",3518.2234733865,566.767423514169,8134327000,10457520000
"110",6540.32405434055,917.463671540773,8189102000,3647698000
"111",7033.40739169013,665.352690326612,202860500,55075140
"112",1651.11414148829,472.894520438052,NA,400394300
"113",2781.98183774962,553.270308297206,NA,344877100
"114",3703.17726024293,635.814532701622,NA,1204002000
"115",3000.89953045162,516.777923246717,NA,97259680
"116",3302.66551225925,613.297303599183,NA,404829300
"117",4398.3685143469,474.264410769112,NA,10305430
"118",4040.81385632214,410.719145586931,NA,NA
"119",5863.20846103654,559.807615817382,NA,NA
"120",2813.95135270691,645.787792472974,81705280,1501990000
"121",8616.12537523088,700.844229516175,914274000,13336800000
"122",3075.40817440994,501.777291414763,665657700,NA
"123",6436.37238145348,497.27131239288,99634290,341245200
"124",8864.03225345221,585.286839886026,177348200,309904100
"125",6935.02642932712,572.959172844461,14831240000,19837960000
"126",4852.73064438157,738.394554440361,1255170000,1534867000
"127",5380.18626075018,633.32698459242,NA,166394900
"128",9390.6786706207,1082.02939390772,NA,24447910000
"129",4667.81001351674,500.79344642807,NA,2441303000
"130",8245.27924814632,687.300693816832,NA,4008945000
"131",5046.13570421595,608.332589919036,NA,12129520
"132",3872.14669199982,586.809996987762,NA,NA
"133",2901.27706422426,548.273789433154,NA,NA
"134",6594.48990509742,711.347171733999,NA,NA
"135",7130.60577119572,581.318283560252,30577280000,NA
"136",4592.31262073013,605.801206083758,382401500,225094100
"137",4334.22839830919,660.364949084176,64779480000,797016400
"138",2870.03628895076,457.752284129216,42726470,112676200
"139",6265.38007696348,857.95924054579,NA,873909500
"140",4804.64121989384,494.765158191632,NA,NA
"141",5048.12315565771,556.280816317865,82297820,NA
"142",4529.27580593937,481.773836132825,165464500,6494854
"143",1927.31872650179,515.266898944511,114248500,132954600
"144",6959.30997143408,424.902771783465,1589027000,10970750000
"145",1925.31791875823,381.541609029798,212687500,32717070
"146",4976.16384140903,533.779354536248,NA,6673890000
"147",7483.11627213017,736.347846008417,NA,944621100
"148",7225.73480790691,623.306247897725,NA,998223300
"149",3008.90342724158,538.280363048356,NA,180160900
"150",2308.4923061781,530.777416781918,NA,832797500
"151",7023.12581639325,599.327572773189,NA,NA
"152",4991.36498692958,474.268122684922,NA,NA
"153",2807.48474777226,403.711337510406,3493062000,1470137000
"154",5481.44272380722,660.824441452817,1016645000,786797000
"155",2393.59724705012,537.273145759737,2084983000,68307390
"156",2418.80284836249,624.804197880779,586719900,1673803000
"157",6933.6224676129,636.850044563551,1016295000,2154731000
"158",7939.97791728139,652.024642504681,16593750000,8830828000
"159",8753.73806121511,515.293057593667,563211600,5841051000
"160",3011.25423256317,494.769735887727,231154200,30796130
"161",2683.70929368576,531.268176223802,NA,356776000
"162",1695.62763110566,581.268428277672,NA,957681900
"163",6472.38602396015,739.360667609212,NA,30646030
"164",2693.18755672067,572.757234774211,NA,578330000
"165",2737.40929700491,542.785722114044,NA,24392670
"166",5147.92738515654,859.408914035787,NA,2062558000
"167",8569.31995939682,603.340859410345,NA,NA
"168",4669.48310881475,417.726855840919,NA,NA
"169",7149.68194140283,774.383927168397,NA,NA
"170",2944.13075601233,541.28017335159,437749800,NA
"171",3755.51003629049,597.287724292271,1077732000,137807100
"172",2921.60185122891,544.774548450373,86352200,13681480
"173",2258.39745661904,681.344647119027,33526270,245296600
